AcctNo,Loan Type,Customer Type,Age,Source Code,Total Income,Term,Balance,Net Due,Security Code,Bal after Ref,Net Due Renewed,FICO,BNI,CR Limit,Agg Net Bal,Date Opened,PI Constant,Debt Ratio,After Debt Ratio,Housing Type,Collateral Description
1,Consumer,New,43,Finance Company Referral,"$3,048.80",15,$985.00,$886.89,Personal Property,$0.00,$886.89,0,318,$0.00,$933.89,3/21/2017,$80.00,45.62,45.39,OWN HOME,",PP"
1039,Consumer,New,50,Finance Company Referral,"$1,841.88",18,"$2,540.55","$2,170.99",Personal Property,$0.00,"$2,170.99",597,180,"$1,500.00","$2,215.99",3/24/2017,$180.00,64.96,70.01,RENT HOME,",PP"
1040,Consumer,New,57,Finance Company Referral,"$1,470.00",12,$860.46,$607.71,Personal Property,$168.17,$775.88,635,235,"$2,125.00",$820.88,3/27/2017,$85.00,44.35,50.14,RENT HOME,",PP"
1041,Consumer,New,47,Walk In,$682.39,12,"$1,187.73",$330.12,Personal Property,$690.67,"$1,020.79",481,221,$0.00,"$1,065.79",3/23/2017,$115.00,72.54,75.18,OTHER,",PP"
1042,Premier-IB,New,64,Walk In,"$2,106.00",24,"$3,300.83","$3,041.39",Personal Property,$0.00,"$3,041.39",680,335,"$3,000.00","$3,441.38",3/23/2017,$165.00,46.01,50.76,,",PP"
1043,Consumer,New,37,Finance Company Referral,"$1,435.44",12,"$1,351.36",$426.71,Personal Property,$737.85,"$1,164.56",448,190,"$1,500.00","$1,209.56",3/23/2017,$130.00,119.75,128.81,,",PP"
1044,Consumer,New,35,Walk In,"$2,691.00",9,$622.92,$531.68,Personal Property,$0.00,$531.68,623,231,"$2,125.00",$576.68,3/23/2017,$80.00,39.32,42.29,RENT HOME,",PP"
1045,Consumer,New,55,Walk In,$871.00,12,$751.36,$326.30,Personal Property,$348.67,$674.97,593,242,"$1,000.00",$645.97,3/24/2017,$75.00,37.77,46.38,RENT HOME,",PP"
1046,Consumer,New,56,Finance Company Referral,"$2,318.33",15,"$1,145.00",$338.69,Personal Property,$632.50,$971.19,524,77,"$1,000.00",$520.67,3/24/2017,$92.00,59.31,59.53,OTHER,",PP"
1047,Consumer,New,72,Finance Company Referral,"$1,346.80",9,$582.47,$217.13,Personal Property,$303.99,$521.12,619,290,"$1,020.00",$566.12,3/28/2017,$75.00,9.95,15.52,RENT HOME,",PP"
1048,Consumer,New,23,Finance Company Referral,"$2,911.50",12,"$1,078.64",$308.29,Personal Property,$616.67,$924.96,656,362,"$5,950.00",$969.96,3/27/2017,$105.00,13.05,13.67,RENT APT,",PP"
1049,Consumer,Present,61,Branch Generated,"$1,087.00",9,$574.38,$299.71,Personal Property,$210.33,$510.04,602,218,"$1,020.00",$555.04,3/27/2017,$74.00,66.15,32.47,RENT APT,",PP"
1050,Consumer,New,54,Finance Company Referral,"$2,474.33",9,$590.56,$169.64,Personal Property,$333.33,$502.97,551,139,$500.00,$547.97,3/27/2017,$76.00,46.48,45.95,,",PP"
1051,Consumer,New,66,Finance Company Referral,"$3,370.00",12,$805.91,$718.94,Personal Property,$0.00,$718.94,647,190,"$3,060.00",$763.94,3/27/2017,$80.00,50.33,52.7,BUY HOME,",PP"
1052,Consumer,New,38,Customer Referral,"$1,140.00",6,$429.77,$364.94,Personal Property,$0.00,$364.94,530,285,$500.00,$409.27,3/27/2017,$80.00,13.95,20.96,OTHER,",PP"
1053,Consumer,Present,66,Branch Generated,"$2,357.38",12,"$1,133.18",$521.57,Personal Property,$497.50,"$1,019.07",631,190,"$1,224.00","$1,064.07",3/27/2017,$110.00,48.78,53.45,OWN HOME,",PP"
1054,Consumer,Present,75,Branch Generated,"$2,886.77",12,"$1,296.82",$814.82,Personal Property,$256.44,"$1,071.26",670,197,"$3,060.00","$1,224.26",3/28/2017,$125.00,59.03,60.79,OWN HOME,",PP"
1055,Consumer,Present,54,Branch Generated,"$1,839.31",15,"$1,198.33",$249.31,Personal Property,$768.00,"$1,017.31",0,255,"$1,500.00","$1,062.31",3/28/2017,$96.00,5.27,5.22,OWN HOME,",PP"
1056,Consumer,Present,25,Branch Generated,$495.99,9,$428.76,$209.12,Personal Property,$94.57,$303.69,0,318,$500.00,$419.96,3/29/2017,$56.00,70.36,71.78,RENT HOME,",PP"
1057,Consumer,Present,65,Counter Solicitation,"$3,280.50",18,"$2,253.48","$1,112.66",Personal Property,$816.23,"$1,928.89",553,96,"$2,000.00","$1,973.89",3/28/2017,$160.00,21.46,23.2,OWN HOME,",PP"
1059,Consumer,Present,69,Branch Generated,$723.00,12,$991.36,$117.88,Personal Property,$771.00,$888.88,643,218,$500.00,$933.88,3/30/2017,$97.00,64.32,64.32,,",PP"
1060,Consumer,Present,38,Branch Generated,"$2,943.03",18,"$2,253.48","$1,007.19",Motor Vehicle,$823.38,"$1,830.57",580,329,"$1,224.00","$2,016.07",3/29/2017,$160.00,19.47,21.13,,"2001 CHEVROLET TRUCK VIN: 2GCEC19T511228582 ,MV"
