acct_num,loan_type,cust_type,age,tot_income,tern,balance,net_due,security_code,bal_after_ref,net_due_renewed,fico,bni,cr_limit,agg_net_bal,date_opened,pmt,dti,is_bad
1,1,1,43,"$3,048.80",15,$985.00,$886.89,10,$0.00,$886.89,0,318,$0.00,$933.89,3/21/2017,$80.00,45.62,0
1039,1,1,50,"$1,841.88",18,"$2,540.55","$2,170.99",10,$0.00,"$2,170.99",597,180,"$1,500.00","$2,215.99",3/24/2017,$180.00,64.96,0
1040,1,1,57,"$1,470.00",12,$860.46,$607.71,10,$168.17,$775.88,635,235,"$2,125.00",$820.88,3/27/2017,$85.00,44.35,0
1041,1,1,47,$682.39,12,"$1,187.73",$330.12,10,$690.67,"$1,020.79",481,221,$0.00,"$1,065.79",3/23/2017,$115.00,72.54,0
1042,2,1,64,"$2,106.00",24,"$3,300.83","$3,041.39",10,$0.00,"$3,041.39",680,335,"$3,000.00","$3,441.38",3/23/2017,$165.00,46.01,0
1043,1,1,37,"$1,435.44",12,"$1,351.36",$426.71,10,$737.85,"$1,164.56",448,190,"$1,500.00","$1,209.56",3/23/2017,$130.00,119.75,0
1044,1,1,35,"$2,691.00",9,$622.92,$531.68,10,$0.00,$531.68,623,231,"$2,125.00",$576.68,3/23/2017,$80.00,39.32,0
1045,1,1,55,$871.00,12,$751.36,$326.30,10,$348.67,$674.97,593,242,"$1,000.00",$645.97,3/24/2017,$75.00,37.77,0
1046,1,1,56,"$2,318.33",15,"$1,145.00",$338.69,10,$632.50,$971.19,524,77,"$1,000.00",$520.67,3/24/2017,$92.00,59.31,0
1047,1,1,72,"$1,346.80",9,$582.47,$217.13,10,$303.99,$521.12,619,290,"$1,020.00",$566.12,3/28/2017,$75.00,9.95,0
1048,1,1,23,"$2,911.50",12,"$1,078.64",$308.29,10,$616.67,$924.96,656,362,"$5,950.00",$969.96,3/27/2017,$105.00,13.05,0
1049,1,2,61,"$1,087.00",9,$574.38,$299.71,10,$210.33,$510.04,602,218,"$1,020.00",$555.04,3/27/2017,$74.00,66.15,0
1050,1,1,54,"$2,474.33",9,$590.56,$169.64,10,$333.33,$502.97,551,139,$500.00,$547.97,3/27/2017,$76.00,46.48,0
1051,1,1,66,"$3,370.00",12,$805.91,$718.94,10,$0.00,$718.94,647,190,"$3,060.00",$763.94,3/27/2017,$80.00,50.33,0
1052,1,1,38,"$1,140.00",6,$429.77,$364.94,10,$0.00,$364.94,530,285,$500.00,$409.27,3/27/2017,$80.00,13.95,0
1053,1,2,66,"$2,357.38",12,"$1,133.18",$521.57,10,$497.50,"$1,019.07",631,190,"$1,224.00","$1,064.07",3/27/2017,$110.00,48.78,0
1054,1,2,75,"$2,886.77",12,"$1,296.82",$814.82,10,$256.44,"$1,071.26",670,197,"$3,060.00","$1,224.26",3/28/2017,$125.00,59.03,0
1055,1,2,54,"$1,839.31",15,"$1,198.33",$249.31,10,$768.00,"$1,017.31",0,255,"$1,500.00","$1,062.31",3/28/2017,$96.00,5.27,0
1056,1,2,25,$495.99,9,$428.76,$209.12,10,$94.57,$303.69,0,318,$500.00,$419.96,3/29/2017,$56.00,70.36,0
1057,1,2,65,"$3,280.50",18,"$2,253.48","$1,112.66",10,$816.23,"$1,928.89",553,96,"$2,000.00","$1,973.89",3/28/2017,$160.00,21.46,0
1059,1,2,69,$723.00,12,$991.36,$117.88,10,$771.00,$888.88,643,218,$500.00,$933.88,3/30/2017,$97.00,64.32,0
1060,1,2,38,"$2,943.03",18,"$2,253.48","$1,007.19",11,$823.38,"$1,830.57",580,329,"$1,224.00","$2,016.07",3/29/2017,$160.00,19.47,0
1062,1,3,47,"$1,895.92",6,$429.77,$364.94,10,$0.00,$364.94,632,191,"$1,020.00",$409.27,3/30/2017,$80.00,17.99,0
1063,1,2,61,"$1,480.00",12,$646.96,$438.39,10,$134.71,$573.10,562,327,$425.00,$618.10,3/30/2017,$65.00,15.07,0
1064,1,1,38,$678.56,9,$622.92,$531.68,10,$0.00,$531.68,592,209,$500.00,$576.68,3/30/2017,$80.00,0,0
